Sentence,Emotion,Emotion_Guess
filtered_Ses01F_impro05_M025_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro05_M026_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M027_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M028_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M029_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M030_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M031_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M034_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M035_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro06_F002_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro06_F003_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro06_F004_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro06_F005_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_F006_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_F007_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_F008_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_F009_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro06_F010_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_F011_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_F012_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_F013_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro06_F014_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro06_F015_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro06_F016_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro06_F018_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro06_F019_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro06_F020_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_F021_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_F022_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_F023_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro06_F024_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_F025_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_F026_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_F027_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro06_F028_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_M000_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro06_M001_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro06_M002_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro06_M003_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro06_M004_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro06_M005_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro06_M006_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro06_M007_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro06_M008_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro06_M009_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro06_M010_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro06_M011_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro06_M012_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro06_M013_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro06_M014_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro06_M015_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro06_M016_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro07_M012_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro07_M013_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro07_M018_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro07_M019_l2600_h4250.wav,hap,hap
filtered_Ses01F_script01_1_F005_l2600_h4250.wav,neu,neu
filtered_Ses01F_script01_1_F015_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_1_F034_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_1_F035_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_1_F037_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_1_F038_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_1_F041_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_1_F042_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_1_M000_l2600_h4250.wav,neu,neu
filtered_Ses01F_script01_1_M001_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_1_M002_l2600_h4250.wav,neu,neu
filtered_Ses01F_script01_1_M003_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_1_M004_l2600_h4250.wav,neu,neu
filtered_Ses01F_script01_1_M007_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_1_M010_l2600_h4250.wav,neu,neu
filtered_Ses01F_script01_1_M012_l2600_h4250.wav,neu,neu
filtered_Ses01F_script01_1_M014_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_1_M015_l2600_h4250.wav,neu,neu
filtered_Ses01F_script01_1_M016_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_1_M017_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_1_M019_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_1_M023_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_1_M024_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_1_M025_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_1_M034_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_1_M039_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_1_M040_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_2_F003_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_2_F004_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_2_F005_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_2_F006_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_2_F007_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_2_F008_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_2_F009_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_2_F010_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_2_F011_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_2_F012_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_2_F013_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_2_M001_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_2_M004_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_2_M008_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_2_M017_l2600_h4250.wav,ang,hap
filtered_Ses01F_script01_3_F000_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_F001_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_F002_l2600_h4250.wav,neu,neu
filtered_Ses01F_script01_3_F003_l2600_h4250.wav,neu,neu
filtered_Ses01F_script01_3_F004_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_F005_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_F006_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_F007_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_F008_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_F009_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_F010_l2600_h4250.wav,hap,hap
filtered_Ses01F_script01_3_F011_l2600_h4250.wav,hap,hap
filtered_Ses01F_script01_3_F012_l2600_h4250.wav,hap,hap
filtered_Ses01F_script01_3_F013_l2600_h4250.wav,hap,hap
filtered_Ses01F_script01_3_F014_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_F015_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_F016_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_F017_l2600_h4250.wav,hap,hap
filtered_Ses01F_script01_3_F019_l2600_h4250.wav,hap,hap
filtered_Ses01F_script01_3_F020_l2600_h4250.wav,hap,hap
filtered_Ses01F_script01_3_F021_l2600_h4250.wav,hap,hap
filtered_Ses01F_script01_3_F022_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_F028_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_F029_l2600_h4250.wav,neu,neu
filtered_Ses01F_script01_3_F030_l2600_h4250.wav,sad,neu
filtered_Ses01F_script01_3_F031_l2600_h4250.wav,neu,neu
filtered_Ses01F_script01_3_F035_l2600_h4250.wav,hap,neu
filtered_Ses01F_script01_3_M000_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_M001_l2600_h4250.wav,neu,neu
filtered_Ses01F_script01_3_M003_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_M004_l2600_h4250.wav,neu,neu
filtered_Ses01F_script01_3_M005_l2600_h4250.wav,neu,hap
filtered_Ses01F_script01_3_M008_l2600_h4250.wav,hap,hap
filtered_Ses01F_script01_3_M009_l2600_h4250.wav,hap,hap
filtered_Ses01F_script01_3_M010_l2600_h4250.wav,hap,hap
filtered_Ses01F_script01_3_M015_l2600_h4250.wav,hap,hap
filtered_Ses01F_script01_3_M016_l2600_h4250.wav,hap,neu
filtered_Ses01F_script01_3_M017_l2600_h4250.wav,hap,neu
filtered_Ses01F_script01_3_M019_l2600_h4250.wav,hap,hap
filtered_Ses01F_script01_3_M020_l2600_h4250.wav,hap,neu
filtered_Ses01F_script01_3_M021_l2600_h4250.wav,sad,hap
filtered_Ses01F_script01_3_M022_l2600_h4250.wav,sad,hap
filtered_Ses01F_script01_3_M023_l2600_h4250.wav,sad,neu
filtered_Ses01F_script01_3_M024_l2600_h4250.wav,sad,neu
filtered_Ses01F_script01_3_M025_l2600_h4250.wav,sad,hap
filtered_Ses01F_script01_3_M026_l2600_h4250.wav,sad,neu
filtered_Ses01F_script01_3_M027_l2600_h4250.wav,sad,neu
filtered_Ses01F_script01_3_M028_l2600_h4250.wav,sad,neu
filtered_Ses01F_script01_3_M029_l2600_h4250.wav,sad,hap
filtered_Ses01F_script01_3_M030_l2600_h4250.wav,sad,hap
filtered_Ses01F_script01_3_M032_l2600_h4250.wav,sad,hap
filtered_Ses01F_script01_3_M033_l2600_h4250.wav,sad,hap
filtered_Ses01F_script01_3_M036_l2600_h4250.wav,sad,neu
filtered_Ses01F_script01_3_M037_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_F000_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_F004_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_F006_l2600_h4250.wav,ang,hap
filtered_Ses01F_script02_1_F007_l2600_h4250.wav,ang,hap
filtered_Ses01F_script02_1_F008_l2600_h4250.wav,neu,neu
filtered_Ses01F_script02_1_F009_l2600_h4250.wav,hap,hap
filtered_Ses01F_script02_1_F010_l2600_h4250.wav,sad,hap
filtered_Ses01F_script02_1_F015_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_F024_l2600_h4250.wav,neu,neu
filtered_Ses01F_script02_1_F025_l2600_h4250.wav,neu,neu
filtered_Ses01F_script02_1_M007_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M008_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M009_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M010_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M011_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M013_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M014_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M015_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M020_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M021_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M023_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M024_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M025_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M026_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M029_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M031_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M032_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M033_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M034_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_1_M036_l2600_h4250.wav,hap,hap
filtered_Ses01F_script02_1_M043_l2600_h4250.wav,hap,neu
filtered_Ses01F_script02_1_M044_l2600_h4250.wav,hap,hap
filtered_Ses01F_script02_2_F000_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_2_F001_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_2_F006_l2600_h4250.wav,ang,hap
filtered_Ses01F_script02_2_F008_l2600_h4250.wav,ang,hap
filtered_Ses01F_script02_2_F009_l2600_h4250.wav,ang,hap
filtered_Ses01F_script02_2_F010_l2600_h4250.wav,ang,hap
filtered_Ses01F_script02_2_F015_l2600_h4250.wav,sad,hap
filtered_Ses01F_script02_2_F016_l2600_h4250.wav,ang,hap
filtered_Ses01F_script02_2_F017_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_2_F019_l2600_h4250.wav,hap,hap
filtered_Ses01F_script02_2_F022_l2600_h4250.wav,sad,neu
filtered_Ses01F_script02_2_F023_l2600_h4250.wav,neu,neu
filtered_Ses01F_script02_2_F026_l2600_h4250.wav,neu,neu
filtered_Ses01F_script02_2_F034_l2600_h4250.wav,sad,hap
filtered_Ses01F_script02_2_F035_l2600_h4250.wav,sad,hap
filtered_Ses01F_script02_2_F036_l2600_h4250.wav,sad,neu
filtered_Ses01F_script02_2_F040_l2600_h4250.wav,sad,hap
filtered_Ses01F_script02_2_F041_l2600_h4250.wav,neu,neu
filtered_Ses01F_script02_2_F042_l2600_h4250.wav,hap,hap
filtered_Ses01F_script02_2_F043_l2600_h4250.wav,hap,hap
filtered_Ses01F_script02_2_F044_l2600_h4250.wav,hap,hap
filtered_Ses01F_script02_2_F045_l2600_h4250.wav,hap,neu
filtered_Ses01F_script02_2_F046_l2600_h4250.wav,sad,hap
filtered_Ses01F_script02_2_F047_l2600_h4250.wav,neu,neu
filtered_Ses01F_script02_2_M002_l2600_h4250.wav,neu,neu
filtered_Ses01F_script02_2_M006_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_2_M016_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_2_M017_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_2_M019_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_2_M021_l2600_h4250.wav,neu,neu
filtered_Ses01F_script02_2_M022_l2600_h4250.wav,neu,neu
filtered_Ses01F_script02_2_M023_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_2_M024_l2600_h4250.wav,hap,hap
filtered_Ses01F_script02_2_M026_l2600_h4250.wav,hap,neu
filtered_Ses01F_script02_2_M033_l2600_h4250.wav,neu,neu
filtered_Ses01F_script02_2_M037_l2600_h4250.wav,sad,hap
filtered_Ses01F_script02_2_M038_l2600_h4250.wav,sad,hap
filtered_Ses01F_script02_2_M040_l2600_h4250.wav,neu,neu
filtered_Ses01F_script02_2_M042_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_2_M043_l2600_h4250.wav,neu,hap
filtered_Ses01F_script02_2_M044_l2600_h4250.wav,hap,hap
filtered_Ses01F_script02_2_M046_l2600_h4250.wav,hap,hap
filtered_Ses01F_script02_2_M047_l2600_h4250.wav,neu,neu
filtered_Ses01F_script02_2_M048_l2600_h4250.wav,neu,neu
filtered_Ses01F_script02_2_M049_l2600_h4250.wav,hap,neu
filtered_Ses01F_script03_1_F005_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_F010_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_F011_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_F020_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_F021_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_F022_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_F029_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_F030_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_M007_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_M008_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_M009_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_M010_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_M013_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_M018_l2600_h4250.wav,hap,neu
filtered_Ses01F_script03_1_M025_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_M026_l2600_h4250.wav,hap,hap
filtered_Ses01F_script03_1_M034_l2600_h4250.wav,hap,hap
